imħabba	sess	6.77
tiger	qattus	7.35
ktieb	karta	7.46
kompjuter	tastiera	7.62
kompjuter	internet	7.58
pjan	karozza	5.77
ferrovija	karozza	6.31
telefon	komunikazzjoni	7.50
televiżjoni	radju	6.77
midja	radju	7.42
droga	abbuż	6.85
ħobż	butir	6.19
ħjara	patata	5.92
tabib	infermier	7.00
professur	tabib	6.62
istudent	professur	6.81
intelliġenti	istudent	4.62
intelliġenti	stupid	5.81
kumpanija	istokk	7.08
istokk	suq	8.08
istokk	telefon	1.62
istokk	cd	1.31
istokk	jaguar	0.92
istokk	bajda	1.81
fertilità	bajda	6.69
istokk	jgħix	3.73
istokk	ħajja	0.92
ktieb	librerija	7.46
bank	flus	8.12
injam	foresti	7.73
professur	ħjara	0.31
king	kaboċċa	0.23
king	reġina	8.58
king	rook	5.92
isqof	rabbi	6.69
ġerusalemm	iżrael	8.46
ġerusalemm	palestinjana	7.65
qaddis	sess	1.62
fuck	sess	9.44
maradona	futbol	8.62
futbol	baskitbol	6.81
futbol	tennis	6.63
tennis	racket	7.56
arafat	paċi	6.73
arafat	terrur	7.65
arafat	jackson	2.50
liġi	avukat	8.38
movie	stilla	7.38
movie	popcorn	6.19
movie	kritiku	6.73
movie	teatru	7.92
fiżika	protoni	8.12
fiżika	kimika	7.35
ispazju	kimika	4.88
alkoħol	kimika	5.54
vodka	ġinn	8.46
vodka	brandi	8.13
xarba	karozza	3.04
xarba	widna	1.31
xarba	ħalq	5.96
xarba	jieklu	6.87
tarbija	omm	7.85
xarba	omm	2.65
karozza	karozzi	8.94
gem	ġojjell	8.96
tifel	lad	8.83
kosta	xatt	9.10
asil	madhouse	8.87
magician	wizard	9.02
forn	stufi	8.79
ikel	frott	7.52
għasfur	vit	7.10
għasfur	krejn	7.38
għodda	jimplimentaw	6.46
ħuh	monk	6.27
krejn	jimplimentaw	2.69
lad	ħuh	4.46
vjaġġ	karozza	5.85
monk	oracle	5.00
ċimiterju	boskijiet	2.08
ikel	rooster	4.42
kosta	għoljiet	4.38
foresti	ċimiterju	1.85
xatt	boskijiet	3.08
monk	iskjavi	0.92
kosta	foresti	3.15
lad	wizard	0.92
korda	daħka	0.54
ħġieġ	magician	2.08
nofsinhar	sekwenza	0.54
rooster	vjaġġ	0.62
flus	dollaru	8.42
flus	munita	9.04
flus	ġid	8.27
flus	proprjetà	7.57
flus	pussess	7.29
flus	bank	8.50
flus	depożitu	7.73
flus	irtirar	6.88
flus	ħasil	5.65
flus	operazzjoni	3.31
tiger	jaguar	8.00
tiger	qtates	8.00
tiger	karnivori	7.08
tiger	mammiferu	6.85
tiger	annimali	7.00
tiger	organiżmu	4.77
tiger	fawna	5.62
tiger	zoo	5.87
psikoloġija	psikjatrija	8.08
psikoloġija	ansjetà	7.00
psikoloġija	biża	6.85
psikoloġija	depressjoni	7.42
psikoloġija	klinika	6.58
psikoloġija	tabib	6.42
psikoloġija	freud	8.21
psikoloġija	moħħ	7.69
psikoloġija	saħħa	7.23
psikoloġija	xjenza	6.71
psikoloġija	dixxiplina	5.58
psikoloġija	konjizzjoni	7.48
pjaneta	stilla	8.45
pjaneta	kostellazzjoni	8.06
pjaneta	qamar	8.08
pjaneta	xemx	8.02
pjaneta	galaxie	8.11
pjaneta	ispazju	7.92
pjaneta	astronomu	7.94
preċedent	eżempju	5.85
preċedent	informazzjoni	3.85
preċedent	konjizzjoni	2.81
preċedent	liġi	6.65
preċedent	ġbir	2.50
preċedent	grupp	1.77
preċedent	anteċedenti	6.04
tazza	kafè	6.58
tazza	mejda	6.85
tazza	artikolu	2.40
tazza	artifact	2.92
tazza	oġġett	3.69
tazza	entità	2.15
tazza	xarba	7.25
tazza	ikel	5.00
tazza	sustanza	1.92
tazza	likwidu	5.90
jaguar	qattus	7.42
jaguar	karozza	7.27
enerġija	segretarju	1.81
segretarju	senat	5.06
enerġija	laboratorju	5.09
kompjuter	laboratorju	6.78
arma	sigriet	6.06
fbi	investigazzjoni	8.31
investigazzjoni	isforz	4.59
mars	ilma	2.94
mars	xjentist	5.63
aħbarijiet	rapport	8.16
canyon	pajsaġġ	7.53
immaġni	wiċċ	4.56
iskoperta	ispazju	6.34
ilma	tnixxija	6.56
sinjal	riċess	2.38
lerbgħa	aħbarijiet	2.22
mil	kilometru	8.66
kompjuter	aħbarijiet	4.47
territorju	wiċċ	5.34
atmosfera	pajsaġġ	3.69
president	midalja	3.00
gwerra	truppi	8.13
rekord	numru	6.31
ġilda	għajn	6.22
ġappuniż	american	6.50
teatru	istorja	3.91
voluntier	motto	2.56
preġudizzju	rikonoxximent	3.00
dekorazzjoni	valor	5.63
seklu	sena	7.59
seklu	nazzjon	3.16
dewmien	razziżmu	1.19
dewmien	aħbarijiet	3.31
ministru	parti	6.63
paċi	pjan	4.75
minoranza	paċi	3.69
tentattiv	paċi	4.25
gvern	kriżi	6.56
iskjerament	tluq	4.25
iskjerament	irtirar	5.88
enerġija	kriżi	5.94
tħabbira	aħbarijiet	7.56
tħabbira	isforz	2.75
puplesija	isptar	7.03
diżabilità	mewt	5.47
vittma	emerġenza	6.47
trattament	irkupru	7.91
ġurnal	assoċjazzjoni	4.97
tabib	persunal	5.00
tabib	responsabbiltà	5.19
responsabbiltà	assigurazzjoni	7.03
iskola	ċentru	3.44
raġuni	kriterju	5.91
mitt	mija	7.38
harvard	yale	8.13
isptar	infrastruttura	4.63
mewt	ringiela	5.25
mewt	rikoverat	5.03
avukat	evidenza	6.69
ħajja	mewt	7.88
ħajja	tul	4.50
kelma	xebh	4.75
bord	rakkomandazzjoni	4.47
gvernatur	intervista	3.25
opec	pajjiż	5.63
paċi	atmosfera	3.69
paċi	assigurazzjoni	2.94
territorju	kilometru	5.28
ivvjaġġar	attività	5.00
kompetizzjoni	prezz	6.44
konsumatur	kunfidenza	4.13
konsumatur	enerġija	4.75
problema	ajruport	2.38
karozza	titjira	4.94
kreditu	karta	8.06
kreditu	informazzjoni	5.31
lukanda	riserva	8.03
grocer	flus	5.94
reġistrazzjoni	arranġament	6.00
arranġament	akkomodazzjoni	5.41
xahar	lukanda	1.81
wasla	lukanda	6.00
sodda	closet	6.72
closet	ħwejjeġ	8.00
sitwazzjoni	konklużjoni	4.81
sitwazzjoni	iżolament	3.88
imparzjalità	interess	5.16
