mëttesstonn	mëttes	3.94
motoriséiert	auto	3.92
kierfecht	raumschëff	3.88
jong	meedchen	3.82
ëmsetzen	instrument	3.66
bësch	woodland	3.65
küst	bord	3.60
autograph	ënnerschrëft	3.59
serf	prophéit	3.46
grinsen	polstersëtz	3.46
glas	tumbler	3.45
golddrot	string	3.41
hiwwel	higel	3.29
magier	wizard	3.21
schmelzhäre	uewen	3.11
asyl	madhouse	3.04
brudder	mönch	2.74
liewensmëttel	uebst	2.69
vugel	hunn	2.63
vugel	crane	2.63
entscheet	salbei	2.61
salbei	wizard	2.46
brudder	meedchen	2.41
crane	ëmsetzen	2.37
magier	entscheet	1.82
glas	bijou	1.78
kierfecht	higel	1.69
auto	rees	1.55
hiwwel	woodland	1.48
crane	hunn	1.41
schmelzhäre	ëmsetzen	1.37
küst	hiwwel	1.26
vugel	woodland	1.24
bord	rees	1.22
kierfecht	woodland	1.18
liewensmëttel	hunn	1.09
bësch	raumschëff	1.00
meedchen	wizard	0.99
higel	bord	0.97
motoriséiert	këssen	0.97
jong	salbei	0.96
mönch	entscheet	0.91
bord	woodland	0.90
grinsen	meedchen	0.88
küst	bësch	0.85
asyl	kierfecht	0.79
mönch	prophéit	0.57
këssen	bijou	0.45
jong	hunn	0.44
glas	magier	0.44
raumschëff	madhouse	0.44
asyl	mönch	0.39
asyl	uebst	0.19
grinsen	ëmsetzen	0.18
higel	uewen	0.14
motoriséiert	wizard	0.11
autograph	bord	0.06
uebst	schmelzhäre	0.05
mëttes	string	0.04
hunn	rees	0.04
niwwelt	polstersëtz	0.02
