léift	sex	6.77
tiger	kaz	7.35
buch	pabeier	7.46
computer	keyboard	7.62
computer	internet	7.58
fliger	auto	5.77
zuch	auto	6.31
telefon	kommunikatioun	7.50
televisioun	radio	6.77
medien	radio	7.42
drogenofhängeger	mëssbrauch	6.85
brout	botter	6.19
pièces	gromper	5.92
dokter	infirmier	7.00
professer	dokter	6.62
schüler	professer	6.81
smart	schüler	4.62
smart	domm	5.81
firma	stock	7.08
stock	maart	8.08
stock	telefon	1.62
stock	cd	1.31
stock	jaguar	0.92
stock	ee	1.81
fruchtbarkeetsklinik	ee	6.69
stock	liewen	3.73
stock	liewen	0.92
buch	bibliothéik	7.46
bank	suen	8.12
holz	bësch	7.73
suen	boer	9.15
professer	pièces	0.31
kinnek	kabes	0.23
kinnek	kinnigin	8.58
kinnek	rook	5.92
bëschof	rabbiner	6.69
jerusalem	israel	8.46
jerusalem	palästinensesche	7.65
helleg	sex	1.62
fakten	sex	9.44
maradona	rei	8.62
rei	soccer	9.03
rei	basketball	6.81
rei	tennis	6.63
tennis	kaméidi	7.56
arafat	fridden	6.73
arafat	terror	7.65
arafat	jackson	2.50
gesetz	affekot	8.38
film	stär	7.38
film	popcorn	6.19
film	kritesch	6.73
film	theater	7.92
physik	proton	8.12
physik	chimie	7.35
raum	chimie	4.88
alkohol	chimie	5.54
wodka	gin	8.46
wodka	cognac	8.13
drénken	auto	3.04
drénken	ouer	1.31
drénken	mond	5.96
drénken	iessen	6.87
puppelchen	mamm	7.85
drénken	mamm	2.65
auto	motoriséiert	8.94
jong	meedchen	8.83
küst	bord	9.10
asyl	madhouse	8.87
magier	wizard	9.02
mëttesstonn	mëttes	9.29
schmelzhäre	uewen	8.79
liewensmëttel	uebst	7.52
vugel	hunn	7.10
vugel	crane	7.38
instrument	ëmsetzen	6.46
brudder	mönch	6.27
crane	ëmsetzen	2.69
meedchen	brudder	4.46
rees	auto	5.85
mönch	entscheet	5.00
kierfecht	woodland	2.08
liewensmëttel	hunn	4.42
küst	hiwwel	4.38
bësch	raumschëff	1.85
bord	woodland	3.08
mönch	prophéit	0.92
küst	bësch	3.15
meedchen	wizard	0.92
