al	nei	1.58
smart	intelligent	9.2
glécklech	faaschtenzäit	9.55
schwéier	einfach	0.95
séier	rapid	8.75
glécklech	frou	9.17
kuerz	laang	1.23
komësch	komesch	8.93
breet	schmuel	1.03
schlecht	währenddeems	8.42
einfach	schwéier	0.58
schlecht	schrecklech	7.78
schwéier	einfach	1.38
smart	domm	0.55
glécklech	enragés	0.95
grouss	grousse	9.47
schwéier	zéien	8.05
nei	frësch	6.83
mëttele	schéin	0.6
séier	rapid	9.7
domm	dommen	6.67
wonnerbar	ërausbrengt	8.63
komesch	gelungent	9.02
glécklech	rosen	1.28
schmuel	breet	1.18
al	frësch	0.87
gënschtegsten	bëlleg	8.72
léif	generéis	5
komësch	normal	0.72
komësch	gelungent	9.2
schlecht	onmoralesch	7.62
traureg	witzeg	0.95
wonnerbar	super	8.05
schëlleg	geschummt	6.38
schéin	wonnerbar	6.5
zouversichtlech	sécher	8.27
domm	dichten	7.27
léif	grausam	0.67
ongedëlleg	angschtgefiller	6.03
grouss	breet	6.73
staark	houfreg	3.17
onnéideg	néideg	0.63
onrouege	jonk	1.6
domm	intelligent	0.75
schlecht	super	0.35
schwéier	einfach	0.87
néideg	wichteg	7.37
schlecht	ërausbrengt	0.65
enragés	frou	1.45
éierlech	schëlleg	1.18
einfach	zéien	0.52
einfach	flexibel	4.1
bestëmmte	sécher	8.42
essentiel	néideg	8.97
verschiddene	normal	1.08
sly	clever	7.25
onzefridden	grausam	8.18
kannerech	dommen	5.5
frëndlech	generéis	5.9
fragil	frigid	2.38
laang	schmuel	3.57
grouss	schwéier	6.18
kierwel	frigid	2.47
schuns	komesch	9.37
illegal	onmoralesch	4.28
schlecht	schëlleg	4.2
modern	antike	0.73
nei	antike	0.23
schéin	witzeg	0.55
glécklech	jonk	2
einfach	grouss	1.12
super	währenddeems	1.17
kleng	grousse	0.6
héiflech	adäquate	7.63
modest	geschummt	2.65
exotesch	seelen	8.05
domm	clever	1.17
dohinner	wonnerbar	8.65
angscht	angschtgefiller	5.07
formell	adäquate	8.02
dreary	schéin	8.25
dohinner	faaschtenzäit	6.58
glécklech	enragés	5.95
traureg	schrecklech	5.4
krank	verréckt	3.57
gewaltsam	rosen	6.98
laden	schwéier	5.9
dreckeg	bëlleg	1.6
elastesche	flexibel	7.78
schwéier	dichten	5.9
rezent	nei	7.05
fett	houfreg	3.97
sly	komesch	1.97
komesch	sly	2.07
domm	seelen	0.48
sly	zéien	0.58
ërausbrengt	enragés	0.4
modest	flexibel	0.98
frësch	breet	0.4
grousse	domm	0.48
grouss	flexibel	0.48
dreckeg	schmuel	0.3
fra	mann	2.3
buch	text	6.35
nuecht	dag	1.88
süden	norden	2.2
fliger	flughafen	3.65
monni	tatta	5.5
päerd	mare	8.33
ënnen	erop	0.7
frënd	buddy	8.78
schüler	kand	9.35
welt	globus	6.67
been	aarm	2.88
fliger	jet	8.1
fra	mann	3.33
päerd	colt	7.07
actrice	schauspiller	7.12
vugel	hawk	7.85
wuert	wierderbuch	3.68
suen	pai	7.88
hond	cat	1.75
gekësst	regioun	9.47
navy	arméi	6.43
buch	literatur	7.53
kleeder	kleederschaaf	3.27
ennergang	opgang	2.47
kand	erwuessener	2.98
rou	ranner	9.52
buch	geschicht	5.63
wanter	summer	2.38
taxi	cab	9.2
bam	schnei	5.53
bett	schlofkummer	3.4
daach	plafongsverkleedung	7.58
aarm	schëller	4.85
schof	lämmche	8.42
lady	grondhär	3.42
boot	ankeren	2.25
paschtouer	mönch	6.28
duer	fanger	4.68
floss	bäiginn	7.3
datum	kalenner	4.42
mier	ocean	8.27
zweeten	minutt	4.62
holz	aloggen	7.3
bulli	knascht	7.32
heemlech	gank	9.28
maus	cat	1.12
condé	sheriff	9.05
doud	begriefnis	4.93
musek	melody	6.98
béier	alkohol	7.5
mond	lip	7.1
stuerm	hurricane	6.38
steier	akommes	2.38
kiischtebléieschau	violett	6.95
pabeier	krëschtdag	5.38
stack	plafongsverkleedung	1.73
hound	fuuss	2.38
strooss	gaass	5.48
boot	puppis	4.28
auto	horn	2.57
frënd	gaascht	4.25
patron	employé	3.65
dem	claude	3.97
ball	cannon	2.58
alkohol	cognac	6.98
victoire	opbléie	8.98
telefon	stand	3.63
dier	iers	5.4
motel	inn	8.17
kleeder	stoff	5.47
steaks	fleesch	7.47
band	orchester	7.08
buch	bibel	5
betrib	industrie	7.02
wanter	saison	6.27
jorzéngt	joerhonnert	3.48
alkohol	gin	8.65
hattrick	wope	2.67
fënster	dier	3.33
aarm	claude	3.57
haus	appartement	5.8
wäin	cognac	5.15
organisateur	laanschtgaangen	9.62
iessen	kaffi	3.33
aarm	fleesch	3.72
bubble	suds	8.57
brout	miel	3.33
doud	regierung	5.8
verontreiung	präsenz	0.4
pistoul	cannon	5.68
ausgerëtscht	viischt	4.57
ball	kuerf	1.67
jong	kannersaachen	7.5
kierch	chouer	2.95
kleeder	ageklemmt	3.02
tuerm	bell	1.9
papp	elterendeel	7.07
schoul	schouljoer	4.42
elterendeel	erwuessener	5.37
bar	prisong	1.9
auto	autobunne	3.4
wierderbuch	definitioun	6.25
dier	keller	1.97
arméi	ugeschloss	5.95
metal	al	7.25
presidence	awiesselung	6.67
wollek	niwwel	6
waasser	äis	6.47
bett	decken	3.02
affektot	affekot	9.35
gekësst	zone	8.33
betrib	firma	9.02
kleeder	stoff	5.87
sweatshirt	jacket	7.15
suen	haaptstad	6.67
dem	fouss	4.17
alkohol	cocktail	6.73
haff	zoll	3.78
protein	atom	6.45
lens	kamera	4.28
iesse	iessen	7.15
aen	tréine	3.55
gott	däiwel	1.8
verantwortlech	rimm	3.1
grenzwäerter	maus	7.78
motoriséiert	moteur	8.65
auto	cab	7.42
cat	léiw	6.75
gréisst	hellegkeet	6.33
realitéit	fantasie	1.03
dier	gate	5.25
cat	déier	5.95
hängkt	al	6.42
réckemuerch	alfaguar	4.17
kären	weess	3.75
haus	schlëssel	1.9
blutt	fleesch	4.28
dier	gank	3.73
gott	geescht	7.3
heefegkeet	vill	8.97
couch	presidence	6.67
mauer	baussecht	4.68
horn	opzebréngen	2.68
uergel	liewer	6.15
kraaft	kéint	7.07
ausdrock	wuert	5.48
band	parad	3.92
mo	hëft	5.9
wollek	stuerm	5.6
freed	stolz	5
kaméidi	stuckelt	6.17
reen	niwwel	5.97
béier	gedrénks	5.42
mann	monni	3.92
apple	jus	2.88
intelligenz	logik	6.5
kommunikatioun	sprooch	7.47
bléck	pelz	6.83
mob	gedonnert	7.85
bord	küst	8.83
drot	golddrot	7.62
vugel	tierkei	6.58
bett	crèche	7.3
kompetenz	fähegkeet	7.5
wollek	niwwel	7.32
supper	iesse	7.53
bar	cage	2.8
waasser	salz	1.3
sënn	usiicht	7.68
situatioun	zoustand	6.58
kriminalitéit	vol	7.53
stil	moud	8.5
aarm	kierper	4.05
boot	auto	2.37
sandwich	mëttespaus	6.3
braut	prinzessin	2.8
éischt	held	8.78
insekt	bee	6.07
crèche	geschir	8.55
déier	persoun	3.05
