gem	ġojjell	3.94
karozzi	karozza	3.92
kuxxin	investi	3.84
tifel	lad	3.82
vit	rooster	3.68
jimplimentaw	għodda	3.66
foresti	boskijiet	3.65
kosta	xatt	3.60
takkwini	firma	3.59
serf	iskjavi	3.46
grin	daħka	3.46
ħġieġ	tazza	3.45
korda	sekwenza	3.41
għoljiet	mound	3.29
magician	wizard	3.21
forn	stufi	3.11
asil	madhouse	3.04
ħuh	monk	2.74
ikel	frott	2.69
għasfur	vit	2.63
għasfur	krejn	2.63
oracle	salvja	2.61
salvja	wizard	2.46
ħuh	lad	2.41
krejn	jimplimentaw	2.37
magician	oracle	1.82
ħġieġ	ġojjell	1.78
ċimiterju	mound	1.69
karozza	vjaġġ	1.55
għoljiet	boskijiet	1.48
krejn	rooster	1.41
forn	jimplimentaw	1.37
kosta	għoljiet	1.26
għasfur	boskijiet	1.24
xatt	vjaġġ	1.22
ċimiterju	boskijiet	1.18
ikel	rooster	1.09
foresti	ċimiterju	1.00
lad	wizard	0.99
mound	xatt	0.97
karozzi	kuxxin	0.97
tifel	salvja	0.96
monk	oracle	0.91
xatt	boskijiet	0.90
grin	lad	0.88
kosta	foresti	0.85
asil	ċimiterju	0.79
monk	iskjavi	0.57
kuxxin	ġojjell	0.45
tifel	rooster	0.44
ħġieġ	magician	0.44
ċimiterju	madhouse	0.44
asil	monk	0.39
asil	frott	0.19
grin	jimplimentaw	0.18
mound	stufi	0.14
karozzi	wizard	0.11
takkwini	xatt	0.06
frott	forn	0.05
nofsinhar	sekwenza	0.04
rooster	vjaġġ	0.04
korda	daħka	0.02
