qodma	ġdid	1.58
iebsa	diffiċli	8.77
kuntenti	ferrieħa	9.55
iebsa	faċli	0.95
malajr	rapida	8.75
kuntenti	kuntent	9.17
qasir	twil	1.23
stupid	mutu	9.58
stramb	stramba	8.93
wiesgħa	dojoq	1.03
ħażin	orribbli	8.42
faċli	diffiċli	0.58
ħażin	terribbli	7.78
iebsa	sempliċi	1.38
intelliġenti	mutu	0.55
insane	crazy	9.57
kuntenti	ġenn	0.95
kbar	enormi	9.47
ġdid	frisk	6.83
qawwija	matt	0.6
malajr	rapida	9.7
mutu	foolish	6.67
isbaħ	terrific	8.63
stramba	stramb	9.02
kuntenti	rrabjata	1.28
dojoq	wiesgħa	1.18
sempliċi	faċli	9.4
qodma	frisk	0.87
apparenti	ovvju	8.47
rħas	irħas	8.72
sbieħ	ġenerużi	5
stramb	normali	0.72
ħażin	immorali	7.62
diqa	umoristiċi	0.95
isbaħ	kbira	8.05
ħatja	ashamed	6.38
sbieħ	isbaħ	6.5
kunfidenti	żgur	8.27
mutu	dens	7.27
sbieħ	krudili	0.67
paċenzja	anzjuż	6.03
kbar	wiesgħa	6.73
qawwija	kburin	3.17
kwiet	żgħażagħ	1.6
mutu	intelliġenti	0.75
ħażin	kbira	0.35
diffiċli	sempliċi	0.87
meħtieġ	importanti	7.37
ħażin	terrific	0.65
ġenn	kuntent	1.45
onest	ħatja	1.18
faċli	iebsa	0.52
faċli	flessibbli	4.1
ċerti	żgur	8.42
essenzjali	meħtieġ	8.97
differenti	normali	1.08
sly	għaqlija	7.25
kruċjali	importanti	8.82
ħarxa	krudili	8.18
childish	foolish	5.5
skarsi	rari	9.17
faċli	ġenerużi	5.9
fraġli	frigid	2.38
twil	dojoq	3.57
kbar	tqil	6.18
illegali	immorali	4.28
ħażin	ħatja	4.2
moderna	qedem	0.73
ġdid	qedem	0.23
matt	umoristiċi	0.55
kuntenti	żgħażagħ	2
faċli	kbar	1.12
kbira	orribbli	1.17
ċkejkna	enormi	0.6
edukat	xierqa	7.63
modesta	ashamed	2.65
eżotiku	rari	8.05
mutu	għaqlija	1.17
delightful	isbaħ	8.65
notevoli	ovvju	8.48
jibżgħu	anzjuż	5.07
formali	xierqa	8.02
dreary	matt	8.25
delightful	ferrieħa	6.58
kuntent	ġenn	5.95
diqa	terribbli	5.4
morda	crazy	3.57
vjolenti	rrabjata	6.98
mgħobbija	tqil	5.9
maħmuġ	irħas	1.6
elastika	flessibbli	7.78
iebsa	dens	5.9
reċenti	ġdid	7.05
kuraġġużi	kburin	3.97
sly	stramba	1.97
stramba	sly	2.07
mutu	rari	0.48
sly	iebsa	0.58
terrific	ġenn	0.4
modesta	flessibbli	0.98
frisk	wiesgħa	0.4
enormi	mutu	0.48
kbar	flessibbli	0.48
maħmuġ	dojoq	0.3
mara	raġel	2.3
ktieb	test	6.35
jilagħqu	bride	3.17
lejl	jum	1.88
nofsinhar	tramuntana	2.2
pjan	ajruport	3.65
ziju	zija	5.5
żiemel	debba	8.33
qiegħ	top	0.7
ħabib	buddy	8.78
istudent	student	9.35
dinja	globu	6.67
riġel	driegħ	2.88
pjan	ġett	8.1
mara	bniedem	3.33
żiemel	colt	7.07
